Nov 02 18:26:30  [info] 127.0.0.1	 conn 1	 queries 33	 time 0.75	 tailor.local/ru/home/home.htm	0
Nov 02 18:26:31  [info] 127.0.0.1	 conn 1	 queries 33	 time 0.79	 tailor.local/ru/home/home.htm	0
Nov 02 18:26:32  [info] 127.0.0.1	 conn 1	 queries 27	 time 0.59	 tailor.local/frontend/webcontent/css/responsiveslides.css	0
Nov 02 18:33:30  [info] 127.0.0.1	 conn 1	 queries 33	 time 0.75	 tailor.local/ru/home/home.htm	0
Nov 02 18:33:31  [info] 127.0.0.1	 conn 1	 queries 29	 time 0.62	 tailor.local/frontend/webcontent/css/responsiveslides.css	0
Nov 02 18:33:32  [info] 127.0.0.1	 conn 1	 queries 33	 time 0.8	 tailor.local/ru/home/home.htm	0
Nov 02 18:33:34  [info] 127.0.0.1	 conn 1	 queries 31	 time 0.87	 tailor.local/ru/catalog/agregaty.htm	0
Nov 02 18:33:35  [info] 127.0.0.1	 conn 1	 queries 31	 time 0.81	 tailor.local/ru/catalog/agregaty.htm	0
Nov 02 18:34:51  [info] 127.0.0.1	 conn 1	 queries 31	 time 1.43	 tailor.local/ru/catalog/agregaty.htm	0
Nov 02 18:34:52  [info] 127.0.0.1	 conn 1	 queries 31	 time 0.78	 tailor.local/ru/catalog/agregaty.htm	0
Nov 02 18:34:53  [info] 127.0.0.1	 conn 1	 queries 31	 time 0.79	 tailor.local/ru/catalog/agregaty.htm	0
Nov 02 18:35:08  [info] 127.0.0.1	 conn 1	 queries 29	 time 1.06	 tailor.local/ru/product/korobka-peredach-caddy-20-tdi.htm	0
Nov 02 18:35:09  [info] 127.0.0.1	 conn 1	 queries 29	 time 0.73	 tailor.local/ru/product/korobka-peredach-caddy-20-tdi.htm	0
Nov 02 18:35:10  [info] 127.0.0.1	 conn 1	 queries 29	 time 0.68	 tailor.local/ru/product/korobka-peredach-caddy-20-tdi.htm	0
Nov 02 18:35:11  [info] 127.0.0.1	 conn 1	 queries 29	 time 0.59	 tailor.local/ru/product/	0
Nov 02 18:35:11  [info] 127.0.0.1	 conn 1	 queries 29	 time 0.63	 tailor.local/ru/content/dostavka.htm	0
Nov 02 18:35:12  [info] 127.0.0.1	 conn 1	 queries 29	 time 0.64	 tailor.local/ru/content/dostavka.htm	0
Nov 02 18:35:13  [info] 127.0.0.1	 conn 1	 queries 29	 time 0.59	 tailor.local/frontend/webcontent/images/product-3.jpg	0
Nov 02 18:35:14  [info] 127.0.0.1	 conn 1	 queries 29	 time 0.62	 tailor.local/ru/content/dostavka.htm	0
Nov 02 18:35:16  [info] 127.0.0.1	 conn 1	 queries 29	 time 0.72	 tailor.local/ru/news_list/novosti.htm	0
Nov 02 18:35:17  [info] 127.0.0.1	 conn 1	 queries 29	 time 0.64	 tailor.local/ru/news_list/novosti.htm	0
Nov 02 18:35:20  [info] 127.0.0.1	 conn 1	 queries 29	 time 0.7	 tailor.local/ru/news/sneg-v-zhitomire-ubirayut-no-ne-vyvozyat.htm	0
Nov 02 18:35:20  [info] 127.0.0.1	 conn 1	 queries 29	 time 0.58	 tailor.local/ru/news/sneg-v-zhitomire-ubirayut-no-ne-vyvozyat.htm	0
Nov 02 18:35:21  [info] 127.0.0.1	 conn 1	 queries 29	 time 0.56	 tailor.local/ru/news/sneg-v-zhitomire-ubirayut-no-ne-vyvozyat.htm	0
Nov 02 18:35:23  [info] 127.0.0.1	 conn 1	 queries 33	 time 0.75	 tailor.local/ru/home/home.htm	0
Nov 02 18:35:24  [info] 127.0.0.1	 conn 1	 queries 29	 time 0.63	 tailor.local/frontend/webcontent/css/responsiveslides.css	0
Nov 02 18:35:25  [info] 127.0.0.1	 conn 1	 queries 33	 time 0.76	 tailor.local/ru/home/home.htm	0
Nov 02 18:35:26  [info] 127.0.0.1	 conn 1	 queries 31	 time 0.78	 tailor.local/ru/catalog/agregaty.htm	0
Nov 02 18:35:27  [info] 127.0.0.1	 conn 1	 queries 31	 time 0.78	 tailor.local/ru/catalog/agregaty.htm	0
Nov 02 18:35:28  [info] 127.0.0.1	 conn 1	 queries 31	 time 0.78	 tailor.local/ru/catalog/agregaty.htm	0
